geotype,geoid,geoname,varname,x2021,State,Cluster
county,22047,"Iberville Parish, LA",drilloffshore,65.85,LA,1.0
county,22049,"Jackson Parish, LA",drilloffshore,63.83,LA,1.0
county,22051,"Jefferson Parish, LA",drilloffshore,61.77,LA,1.0
county,22053,"Jefferson Davis Parish, LA",drilloffshore,68.51,LA,1.0
county,22055,"Lafayette Parish, LA",drilloffshore,59.9,LA,1.0
county,22057,"Lafourche Parish, LA",drilloffshore,65.33,LA,1.0
county,22059,"Lasalle Parish, LA",drilloffshore,,LA,1.0
county,22059,"LaSalle Parish, LA",drilloffshore,67.98,LA,1.0
county,22061,"Lincoln Parish, LA",drilloffshore,62.11,LA,1.0
county,22063,"Livingston Parish, LA",drilloffshore,68.06,LA,1.0
county,22065,"Madison Parish, LA",drilloffshore,61.07,LA,1.0
county,22067,"Morehouse Parish, LA",drilloffshore,65.89,LA,1.0
county,22069,"Natchitoches Parish, LA",drilloffshore,63.64,LA,1.0
county,22071,"Orleans Parish, LA",drilloffshore,48.7,LA,1.0
county,22073,"Ouachita Parish, LA",drilloffshore,64.52,LA,1.0
county,22075,"Plaquemines Parish, LA",drilloffshore,68.75,LA,1.0
county,22077,"Pointe Coupee Parish, LA",drilloffshore,67.44,LA,1.0
county,22079,"Rapides Parish, LA",drilloffshore,65.59,LA,1.0
county,22081,"Red River Parish, LA",drilloffshore,63.64,LA,1.0
county,22083,"Richland Parish, LA",drilloffshore,63.33,LA,1.0
county,22085,"Sabine Parish, LA",drilloffshore,66.32,LA,1.0
county,22087,"St. Bernard Parish, LA",drilloffshore,63.94,LA,1.0
county,22089,"St. Charles Parish, LA",drilloffshore,68.71,LA,1.0
county,22091,"St. Helena Parish, LA",drilloffshore,61.51,LA,1.0
county,22093,"St. James Parish, LA",drilloffshore,65.55,LA,1.0
county,22095,"St. John the Baptist Parish, LA",drilloffshore,60.91,LA,1.0
county,22095,"St. John The Baptist Parish, LA",drilloffshore,,LA,1.0
county,22097,"St. Landry Parish, LA",drilloffshore,62.76,LA,1.0
county,22099,"St. Martin Parish, LA",drilloffshore,64.33,LA,1.0
county,22101,"St. Mary Parish, LA",drilloffshore,67.14,LA,1.0
county,22103,"St. Tammany Parish, LA",drilloffshore,63.85,LA,1.0
county,22105,"Tangipahoa Parish, LA",drilloffshore,61.95,LA,1.0
county,22107,"Tensas Parish, LA",drilloffshore,64.97,LA,1.0
county,22109,"Terrebonne Parish, LA",drilloffshore,63.99,LA,1.0
county,22111,"Union Parish, LA",drilloffshore,67.8,LA,1.0
county,22113,"Vermilion Parish, LA",drilloffshore,59.79,LA,1.0
county,22115,"Vernon Parish, LA",drilloffshore,65.54,LA,1.0
county,22117,"Washington Parish, LA",drilloffshore,61.56,LA,1.0
county,22119,"Webster Parish, LA",drilloffshore,66.79,LA,1.0
county,22121,"West Baton Rouge Parish, LA",drilloffshore,67.39,LA,1.0
county,22123,"West Carroll Parish, LA",drilloffshore,70.23,LA,1.0
county,22125,"West Feliciana Parish, LA",drilloffshore,70.13,LA,1.0
county,22127,"Winn Parish, LA",drilloffshore,68.2,LA,1.0
county,28001,"Adams County, MS",drilloffshore,62.18,MS,1.0
county,28003,"Alcorn County, MS",drilloffshore,64.95,MS,1.0
county,28005,"Amite County, MS",drilloffshore,64.07,MS,1.0
county,28007,"Attala County, MS",drilloffshore,62.42,MS,1.0
county,28009,"Benton County, MS",drilloffshore,66.17,MS,1.0
county,28011,"Bolivar County, MS",drilloffshore,54.95,MS,1.0
